La	da0fs0	B-NP
emisora	ncfs000	I-NP
de	sps00	I-NP
Radio_Liberty	np00000	I-NP
vuelve	vmip3s0	B-VP
a	sps00	O
RNE	np00000	B-NP
.	fp	O
El	da0ms0	B-NP
Gobierno	np00000	I-NP
de	sps00	I-NP
Estados_Unidos	np00000	I-NP
transfirió	vmis3s0	B-VP
ayer	rg	O
formalmente	rg	O
la	da0fs0	B-NP
emisora	ncfs000	I-NP
de	sps00	I-NP
Radio_Liberty	np00000	I-NP
a	sps00	O
Radio_Nacional_de_España	np00000	B-NP
,	fc	O
que	pr0cn000	O
ahora	rg	O
gestiona	vmip3s0	B-VP
la	da0fs0	B-NP
instalación	ncfs000	I-NP
.	fp	O
Esto	pd0ns000	B-NP
representa	vmip3s0	B-VP
la	da0fs0	B-NP
rescisión	ncfs000	I-NP
del	spcms	I-NP
contrato	ncms000	I-NP
de	sps00	I-NP
alquiler	ncms000	I-NP
de	sps00	I-NP
los	da0mp0	I-NP
terrenos	ncmp000	I-NP
de	sps00	I-NP
Pals	np00000	I-NP
que	pr0cn000	O
los	da0mp0	B-NP
estadounidenses	ncmp000	I-NP
habían	vaii3p0	B-VP
suscrito	vmp00sm	I-VP
hasta	sps00	O
el	da0ms0	B-NP
2015		I-NP
y	cc	O
es	vsip3s0	B-VP
un	di0ms0	B-NP
paso	ncms000	I-NP
más	rg	I-NP
para	sps00	I-NP
el	da0ms0	I-NP
desmantelamiento	ncms000	I-NP
de	sps00	I-NP
las	da0fp0	I-NP
gigantescas	aq0fp0	I-NP
antenas	ncfp000	I-NP
.	fp	O
Radio_Liberty	np00000	B-NP
empezó	vmis3s0	B-VP
a	sps00	I-VP
emitir	vmn0000	I-VP
en	sps00	O
1959		B-NP
como	cs	O
instrumento	ncms000	B-NP
de	sps00	I-NP
propaganda	ncfs000	I-NP
política	aq0fs0	I-NP
de	sps00	I-NP
Estados_Unidos	np00000	I-NP
en	sps00	I-NP
su	dp3cs0	I-NP
enfrentamiento	ncms000	I-NP
ideológico	aq0ms0	I-NP
con	sps00	I-NP
el	da0ms0	I-NP
comunismo	ncms000	I-NP
soviético	aq0ms0	I-NP
.	fp	O
La	da0fs0	B-NP
emisora	ncfs000	I-NP
dejó	vmis3s0	B-VP
de	sps00	I-VP
emitir	vmn0000	I-VP
el	da0ms0	B-NP
25_de_mayo		I-NP
del	spcms	I-NP
año	ncms000	I-NP
pasado	aq0msp	O
.	fp	O
La	da0fs0	B-NP
idea	ncfs000	I-NP
de	sps00	I-NP
RNE	np00000	I-NP
es	vsip3s0	B-VP
ceder	vmn0000	O
los	da0mp0	B-NP
terrenos	ncmp000	I-NP
al	spcms	O
Patrimonio_del_Estado	np00000	B-NP
.	fp	O
Está	vmip3s0	B-VP
previsto	aq0msp	O
que	cs	O
las	da0fp0	B-NP
antenas	ncfp000	I-NP
desaparezcan	vmsp3p0	B-VP
dentro	rg	O
de	sps00	O
año	ncms000	B-NP
y	cc	I-NP
medio	aq0ms0	I-NP
.	fp	O
