El	da0ms0	B-NP
gigante	nccs000	I-NP
bancario	aq0ms0	I-NP
estadounidense	aq0cs0	I-NP
Chase_Manhattan_Bank	np00000	I-NP
está	vmip3s0	B-VP
en	sps00	O
""""	fe	B-NP
serias	aq0fp0	I-NP
""""	fe	I-NP
conversaciones	ncfp000	I-NP
para	sps00	O
comprar	vmn0000	O
la	da0fs0	B-NP
firma	ncfs000	I-NP
de	sps00	I-NP
inversiones	ncfp000	I-NP
JP_Morgan	np00000	B-NP
,	fc	O
según	cs	O
informa	vmm02s0	B-VP
hoy	rg	O
el	da0ms0	B-NP
periódico	ncms000	I-NP
The_New_York_Times	np00000	I-NP
en	sps00	O
su	dp3cs0	B-NP
edición	ncfs000	I-NP
electrónica	aq0fs0	I-NP
.	fp	O
Una	di0fs0	B-NP
fuente	ncfs000	I-NP
anónima	aq0fs0	I-NP
,	fc	I-NP
cercana	aq0fs0	I-NP
a	sps00	I-NP
las	da0fp0	I-NP
discusiones	ncfp000	I-NP
entre	sps00	I-NP
ambas	dn0fp0	I-NP
instituciones	ncfp000	I-NP
,	fc	O
confirmó	vmis3s0	B-VP
al	spcms	O
medio	ncms000	B-NP
que	cs	O
el	da0ms0	B-NP
acuerdo	ncms000	I-NP
es	vsip3s0	B-VP
inminente	aq0cs0	O
y	cc	O
que	cs	O
el	da0ms0	B-NP
anuncio	ncms000	I-NP
oficial	aq0cs0	I-NP
de	sps00	I-NP
la	da0fs0	I-NP
fusión	ncfs000	I-NP
podría	vmic3s0	B-VP
hacerse	vmn0000	I-VP
mañana	rg	O
,	fc	O
miércoles		B-NP
,	fc	O
por	sps00	O
la	da0fs0	B-NP
mañana	ncfs000	I-NP
.	fp	O
Los	da0mp0	B-NP
detalles	ncmp000	I-NP
del	spcms	I-NP
acuerdo	ncms000	I-NP
aún	rg	O
se	p0000000	O
desconocen	vmip3p0	B-VP
,	fc	O
caso	ncms000	B-NP
del	spcms	I-NP
precio	ncms000	I-NP
de	sps00	I-NP
la	da0fs0	I-NP
operación	ncfs000	I-NP
,	fc	O
aunque	cs	O
el	da0ms0	B-NP
canal	ncms000	I-NP
de	sps00	I-NP
televisión	ncfs000	I-NP
CNBC	np00000	B-NP
lo	pp3msa00	I-NP
calcula	vmip3s0	B-VP
por_encima_de	sps00	O
los	da0mp0	B-NP
30.000		I-NP
millones	ncmp000	I-NP
de	sps00	I-NP
dólares	zm	I-NP
.	fp	O
La	da0fs0	B-NP
fusión	ncfs000	I-NP
ubicará	vmif3s0	B-VP
definitivamente	rg	O
a	sps00	O
Chase_Manhattan	np00000	B-NP
entre	sps00	O
las	da0fp0	B-NP
principales	aq0cp0	I-NP
firmas	ncfp000	I-NP
financieras	aq0fp0	I-NP
de	sps00	I-NP
los	da0mp0	I-NP
EEUU	np00000	I-NP
.	fp	O
Chase_Manhattan	np00000	B-NP
es	vsip3s0	B-VP
el	da0ms0	B-NP
tercer	ao0ms0	I-NP
banco	ncms000	I-NP
comercial	aq0cs0	I-NP
más	rg	I-NP
grande	aq0cs0	I-NP
de	sps00	I-NP
los	da0mp0	I-NP
EEUU	np00000	I-NP
,	fc	O
pero	cc	O
su	dp3cs0	B-NP
división	ncfs000	I-NP
de	sps00	I-NP
banca	ncfs000	I-NP
de	sps00	I-NP
inversión	ncfs000	I-NP
y	cc	I-NP
de	sps00	I-NP
asesoría	ncfs000	I-NP
financiera	aq0fs0	I-NP
es	vsip3s0	B-VP
pequeña	aq0fs0	O
en_comparación_con	sps00	O
la	da0fs0	B-NP
de	sps00	I-NP
algunos	pi0mp000	I-NP
de	sps00	I-NP
sus	dp3cp0	I-NP
rivales	nccp000	I-NP
,	fc	I-NP
como	cs	I-NP
Citigroup	np00000	I-NP
,	fc	I-NP
u	cc	I-NP
otros	di0mp0	I-NP
gigantes	nccp000	I-NP
de	sps00	I-NP
este	dd0ms0	I-NP
tipo	ncms000	I-NP
de	sps00	I-NP
operaciones	ncfp000	I-NP
,	fc	I-NP
como	cs	I-NP
Merril_Lynch	np00000	I-NP
o	cc	I-NP
Goldman_Sachs	np00000	I-NP
.	fp	O
La	da0fs0	B-NP
noticia	ncfs000	I-NP
continúa	vmip3s0	B-VP
con	sps00	O
las	da0fp0	B-NP
especulaciones	ncfp000	I-NP
respecto_a	sps00	I-NP
un	di0ms0	I-NP
posible	aq0cs0	I-NP
traspaso	ncms000	I-NP
de	sps00	I-NP
propiedad	ncfs000	I-NP
de	sps00	I-NP
JP_Morgan	np00000	I-NP
,	fc	I-NP
el	da0ms0	I-NP
quinto	ncms000	I-NP
mayor	aq0cs0	I-NP
banco	ncms000	I-NP
de	sps00	I-NP
inversión	ncfs000	I-NP
de	sps00	I-NP
los	da0mp0	I-NP
EEUU	np00000	I-NP
.	fp	O
Entre	sps00	O
los	da0mp0	B-NP
rumores	ncmp000	I-NP
que	pr0cn000	O
circularon	vmis3p0	B-VP
en	sps00	O
Wall_Street	np00000	B-NP
respecto_al	spcms	O
futuro	ncms000	B-NP
de	sps00	I-NP
JP_Morgan	np00000	I-NP
destacó	vmis3s0	B-VP
el	da0ms0	B-NP
que	pr0cn000	O
lo	pp3msa00	B-NP
situaba	vmii3s0	B-VP
en	sps00	O
la	da0fs0	B-NP
esfera	ncfs000	I-NP
de	sps00	I-NP
compras	ncfp000	I-NP
del	spcms	I-NP
banco	ncms000	I-NP
alemán	aq0ms0	I-NP
Deutsche_Bank	np00000	I-NP
.	fp	O
Sin_embargo	rg	O
,	fc	O
según	sps00	O
The_New_York_Times	np00000	B-NP
las	da0fp0	B-NP
conversaciones	ncfp000	I-NP
con	sps00	I-NP
el	da0ms0	I-NP
banco	ncms000	I-NP
alemán	aq0ms0	I-NP
habrían	vaic3p0	B-VP
finalizado	vmp00sm	I-VP
.	fp	O
Otro	di0ms0	B-NP
hecho	ncms000	I-NP
que	pr0cn000	O
ha	vaip3s0	B-VP
puesto	vmp00sm	I-VP
en	sps00	O
alerta	ncfs000	B-NP
a	sps00	O
los	da0mp0	B-NP
inversores	ncmp000	I-NP
fue	vsis3s0	B-VP
la	da0fs0	B-NP
sorpresiva	aq0fs0	I-NP
renuncia	ncfs000	I-NP
del	spcms	I-NP
gerente	nccs000	I-NP
de	sps00	I-NP
finanzas	ncfp000	I-NP
de	sps00	I-NP
JP_Morgan	np00000	I-NP
,	fc	O
Peter_Hancock	np00000	B-NP
,	fc	I-NP
cuya	pr0fs000	I-NP
salida	ncfs000	I-NP
del	spcms	I-NP
banco	ncms000	I-NP
la	da0fs0	B-NP
semana	ncfs000	I-NP
pasada	aq0fsp	O
se	p0000000	O
vio	vmis3s0	B-VP
como	cs	O
un	di0ms0	B-NP
paso	ncms000	I-NP
que	pr0cn000	O
presagiaba	vmii3s0	B-VP
la	da0fs0	B-NP
inminencia	ncfs000	I-NP
de	sps00	I-NP
un	di0ms0	I-NP
acuerdo	ncms000	I-NP
de	sps00	I-NP
fusión	ncfs000	I-NP
.	fp	O
La	da0fs0	B-NP
noticia	ncfs000	I-NP
del	spcms	I-NP
inminente	aq0cs0	I-NP
acuerdo	ncms000	I-NP
entre	sps00	I-NP
Chase	np00000	I-NP
y	cc	I-NP
JP_Morgan	np00000	I-NP
fue	vsis3s0	B-VP
publicado	vmp00sm	I-VP
en	sps00	O
la	da0fs0	B-NP
página	ncfs000	I-NP
de	sps00	I-NP
internet	ncms000	I-NP
del	spcms	I-NP
diario	ncms000	I-NP
minutos	ncmp000	I-NP
antes	rg	O
de	sps00	O
que	cs	O
cerrara	vmsi3s0	B-VP
la	da0fs0	B-NP
bolsa	ncfs000	I-NP
,	fc	O
lo	da0ns0	B-NP
que	pr0cn000	O
dio	vmis3s0	B-VP
un	di0ms0	B-NP
último	ao0ms0	I-NP
impulso	ncms000	I-NP
a	sps00	O
las	da0fp0	B-NP
acciones	ncfp000	I-NP
de	sps00	I-NP
JP_Morgan	np00000	I-NP
,	fc	O
que	pr0cn000	O
cerraron	vmis3p0	B-VP
con	sps00	O
un	di0ms0	B-NP
alza	ncfs000	I-NP
de	sps00	I-NP
15		I-NP
dólares	zm	I-NP
a	sps00	I-NP
184		I-NP
dólares	zm	I-NP
.	fp	O
En	sps00	O
el	da0ms0	B-NP
mercado	ncms000	I-NP
electrónico	aq0ms0	I-NP
Redibook	np00000	I-NP
,	fc	O
que	pr0cn000	O
opera	vmip3s0	B-VP
una_vez_que	cs	O
las	da0fp0	B-NP
bolsas	ncfp000	I-NP
tradicionales	aq0cp0	I-NP
cierran	vmip3p0	B-VP
,	fc	O
las	da0fp0	B-NP
acciones	ncfp000	I-NP
de	sps00	I-NP
JP_Morgan	np00000	I-NP
ganaban	vmii3p0	B-VP
16,25		B-NP
dólares	zm	I-NP
a	sps00	O
185,25		B-NP
dólares	zm	I-NP
y	cc	O
las	da0fp0	B-NP
de	sps00	I-NP
Chase_Manhattan	np00000	I-NP
bajaban	vmii3p0	B-VP
4,63		B-NP
dólares	zm	I-NP
a	sps00	O
52,88		B-NP
dólares	zm	I-NP
.	fp	O
