El	da0ms0	B-NP
ministro	ncms000	I-NP
de	sps00	I-NP
Industria	np00000	I-NP
,	fc	O
Josep_Piqué	np00000	B-NP
,	fc	O
criticó	vmis3s0	B-VP
ayer	rg	O
en	sps00	O
Melilla	np00000	B-NP
la	da0fs0	B-NP
convocatoria	ncfs000	I-NP
de	sps00	I-NP
dos	dn0cp0	I-NP
jornadas	ncfp000	I-NP
de	sps00	I-NP
huelga	ncfs000	I-NP
en	sps00	I-NP
la	da0fs0	I-NP
minería	ncfs000	I-NP
durante	sps00	I-NP
la	da0fs0	I-NP
campaña	ncfs000	I-NP
electoral	aq0cs0	I-NP
para	sps00	I-NP
los	da0mp0	I-NP
comicios	ncmp000	I-NP
del	spcms	I-NP
próximo	aq0ms0	I-NP
13_de_junio		I-NP
,	fc	O
y	cc	O
la	pp3fsa00	B-NP
atribuyó	vmis3s0	B-VP
a	sps00	O
posibles	aq0cp0	B-NP
razones	ncfp000	I-NP
""""	fe	I-NP
no	rn	O
estrictamente	rg	O
ligadas	aq0fpp	O
al	spcms	O
Plan_del_Carbón	np00000	B-NP
""""	fe	O
.	fp	O
Piqué	np00000	B-NP
aseguró	vmis3s0	B-VP
que	cs	O
la	da0fs0	B-NP
reconversión	ncfs000	I-NP
de	sps00	I-NP
la	da0fs0	I-NP
minería	ncfs000	I-NP
""""	fe	O
se	p0300000	O
está	vmip3s0	B-VP
cumpliendo	vmg0000	I-VP
""""	fe	O
,	fc	O
aunque	cs	O
admitió	vmis3s0	B-VP
algunas	di0fp0	B-NP
""""	fe	I-NP
disfunciones	ncfp000	I-NP
""""	fe	I-NP
.	fp	O
El	da0ms0	B-NP
ministerio	ncms000	I-NP
informó	vmis3s0	B-VP
ayer	rg	O
de	sps00	O
que	cs	O
el	da0ms0	B-NP
plan	ncms000	I-NP
supone	vmip3s0	B-VP
unas	di0fp0	B-NP
aportaciones	ncfp000	I-NP
de	sps00	I-NP
más	rg	I-NP
de	sps00	I-NP
150.000		I-NP
millones	ncmp000	I-NP
.	fp	O
Según	sps00	O
Industria	np00000	B-NP
,	fc	O
las	da0fp0	B-NP
ayudas	ncfp000	I-NP
al	spcms	I-NP
funcionamiento	ncms000	I-NP
de	sps00	I-NP
las	da0fp0	I-NP
minas	ncfp000	I-NP
superan	vmip3p0	B-VP
anualmente	rg	O
los	da0mp0	B-NP
80.000		I-NP
millones	ncmp000	I-NP
y	cc	O
en	sps00	O
un	di0ms0	B-NP
año	ncms000	I-NP
y	cc	I-NP
medio	pn0ms000	I-NP
se	p0000000	O
han	vaip3p0	B-VP
aprobado	vmp00sm	I-VP
proyectos	ncmp000	B-NP
de	sps00	I-NP
infraestructuras	ncfp000	I-NP
por	sps00	O
125.000		B-NP
millones	ncmp000	I-NP
.	fp	O
En	sps00	O
1998		B-NP
se	p0300000	O
prejubilaron	vmis3p0	B-VP
casi	rg	B-NP
4.000		I-NP
trabajadores	ncmp000	I-NP
y	cc	O
otros	di0mp0	B-NP
2.000		I-NP
en	sps00	O
Hunosa	np00000	B-NP
,	fc	O
y	cc	O
este	dd0ms0	B-NP
año	ncms000	I-NP
lo	pp3msa00	B-NP
harán	vmif3p0	B-VP
otros	di0mp0	B-NP
1.031		I-NP
mineros	ncmp000	I-NP
.	fp	O
