El	da0ms0	B-NP
perro	ncms000	I-NP
que	pr0cn000	O
mató	vmis3s0	B-VP
al	spcms	O
niño	ncms000	B-NP
de	sps00	I-NP
Mallorca	np00000	I-NP
era	vsii3s0	B-VP
especialmente	rg	O
peligroso	aq0ms0	O
,	fc	O
según	sps00	O
el	da0ms0	B-NP
veterinario	ncms000	I-NP
.	fp	O
La	da0fs0	B-NP
declaración	ncfs000	I-NP
se	p0300000	O
produjo	vmis3s0	B-VP
en	sps00	O
la	da0fs0	B-NP
segunda	ao0fs0	I-NP
jornada	ncfs000	I-NP
del	spcms	I-NP
juicio	ncms000	I-NP
por	sps00	I-NP
homicidio	ncms000	I-NP
imprudente	aq0cs0	I-NP
contra	sps00	I-NP
su	dp3cs0	I-NP
dueño	ncms000	I-NP
,	fc	O
que	pr0cn000	O
aparece	vmip3s0	B-VP
a	sps00	O
la	da0fs0	B-NP
izquierda	ncfs000	I-NP
de	sps00	I-NP
la	da0fs0	I-NP
foto	ncfs000	I-NP
.	fp	O
El	da0ms0	B-NP
veterinario	ncms000	I-NP
concluyó	vmis3s0	B-VP
de	sps00	O
sus	dp3cp0	B-NP
observaciones	ncfp000	I-NP
que	cs	O
el	da0ms0	B-NP
perro	ncms000	I-NP
había	vaii3s0	B-VP
sido	vsp00sm	I-VP
adiestrado	vmp00sm	I-VP
para	sps00	O
ser	vsn0000	O
agresivo	aq0ms0	O
,	fc	O
aunque	cs	O
de	sps00	O
una	di0fs0	B-NP
manera	ncfs000	I-NP
inconsciente	aq0cs0	I-NP
.	fp	O
