Jean_Paul_Belmondo	np00000	B-NP
sufre	vmip3s0	B-VP
un	di0ms0	B-NP
ataque	ncms000	I-NP
cardiaco	aq0ms0	I-NP
en	sps00	O
el	da0ms0	B-NP
escenario	ncms000	I-NP
.	fp	O
El	da0ms0	B-NP
actor	ncms000	I-NP
francés	aq0ms0	I-NP
,	fc	I-NP
de	sps00	I-NP
66		I-NP
años	ncmp000	I-NP
,	fc	O
representaba	vmii3s0	B-VP
el	da0ms0	B-NP
papel	ncms000	I-NP
principal	aq0cs0	I-NP
de	sps00	I-NP
la	da0fs0	I-NP
obra	ncfs000	I-NP
Frederick_ou_le_Boulevard_du_Crime	np00000	I-NP
en	sps00	O
un	di0ms0	B-NP
teatro	ncms000	I-NP
de	sps00	I-NP
Brest	np00000	I-NP
(	fpa	B-NP
Francia	np00000	I-NP
)	fpt	I-NP
.	fp	O
Tras	sps00	O
una	di0fs0	B-NP
hora	ncfs000	I-NP
de	sps00	I-NP
actuación	ncfs000	I-NP
,	fc	O
se	p0300000	O
sintió	vmis3s0	B-VP
indispuesto	aq0msp	O
y	cc	O
se	p0300000	O
retiró	vmis3s0	B-VP
detrás_del	spcms	O
escenario	ncms000	B-NP
.	fp	O
Belmondo	np00000	B-NP
fue	vsis3s0	B-VP
llevado	vmp00sm	I-VP
al	spcms	O
Hospital_Cavale_Blanche	np00000	B-NP
,	fc	O
donde	pr000000	O
fue	vsis3s0	B-VP
internado	vmp00sm	I-VP
en	sps00	O
el	da0ms0	B-NP
servicio	ncms000	I-NP
de	sps00	I-NP
cardiología	ncfs000	I-NP
.	fp	O
