Un	di0ms0	B-NP
estudio	ncms000	I-NP
afirma	vmip3s0	B-VP
que	cs	O
el	da0ms0	B-NP
buque	ncms000	I-NP
'	fz	I-NP
Erika	np00000	I-NP
'	fz	I-NP
transportaba	vmii3s0	B-VP
aceite	ncms000	B-NP
tóxico	aq0ms0	I-NP
.	fp	O
La	da0fs0	B-NP
investigación	ncfs000	I-NP
,	fc	O
realizada	aq0fsp	O
por	sps00	O
técnicos	ncmp000	B-NP
independientes	aq0cp0	I-NP
,	fc	O
indica	vmip3s0	B-VP
que	cs	O
la	da0fs0	B-NP
carga	ncfs000	I-NP
del	spcms	I-NP
buque	ncms000	I-NP
siniestrado	aq0ms0	I-NP
frente_a	sps00	I-NP
las	da0fp0	I-NP
costas	ncfp000	I-NP
francesas	aq0fp0	I-NP
no	rn	O
era	vsii3s0	B-VP
fuel	ncms000	B-NP
,	fc	O
sino	cc	O
una	di0fs0	B-NP
mezcla	ncfs000	I-NP
tóxica	aq0fs0	I-NP
y	cc	I-NP
cancerígena	aq0fs0	I-NP
de	sps00	I-NP
aceites	ncmp000	I-NP
minerales	aq0cp0	I-NP
.	fp	O
La	da0fs0	B-NP
empresa	ncfs000	I-NP
que	pr0cn000	O
fletó	vmis3s0	B-VP
el	da0ms0	B-NP
buque	ncms000	I-NP
,	fc	I-NP
Totalfina	np00000	I-NP
,	fc	O
calificó	vmis3s0	B-VP
de	sps00	O
""""	fe	B-NP
mentira	ncfs000	I-NP
""""	fe	I-NP
dicha	aq0fsp	O
información	ncfs000	B-NP
y	cc	O
añadió	vmis3s0	B-VP
que	cs	O
el	da0ms0	B-NP
combustible	ncms000	I-NP
era	vsii3s0	B-VP
para	sps00	O
la	da0fs0	B-NP
compañía	ncfs000	I-NP
eléctrica	aq0fs0	I-NP
italiana	aq0fs0	I-NP
Enel	np00000	I-NP
.	fp	O
