Tarragona	np00000	B-NP
multa	vmip3s0	B-VP
a	sps00	O
30		B-NP
motos	ncmp000	I-NP
de	sps00	I-NP
agua	ncfs000	I-NP
en	sps00	O
10		B-NP
días	ncmp000	I-NP
.	fp	O
El	da0ms0	B-NP
Servicio_Marítimo	np00000	I-NP
de	sps00	I-NP
la	da0fs0	I-NP
Guardia_Civil	np00000	I-NP
de	sps00	I-NP
Tarragona	np00000	I-NP
ha	vaip3s0	B-VP
multado	vmp00sm	I-VP
en	sps00	O
los	da0mp0	B-NP
últimos	ao0mp0	I-NP
10		I-NP
días	ncmp000	I-NP
en	sps00	O
la	da0fs0	B-NP
Costa_Daurada	np00000	I-NP
a	sps00	O
30		B-NP
propietarios	ncmp000	I-NP
de	sps00	I-NP
motos	ncmp000	I-NP
acuáticas	aq0fp0	I-NP
por	sps00	O
diversas	di0fp0	B-NP
infracciones	ncfp000	I-NP
,	fc	O
como	cs	O
no	rn	O
estar	vmn0000	O
matriculadas	aq0fpp	O
,	fc	O
carecer	vmn0000	O
de	sps00	O
seguro	ncms000	B-NP
o	cc	O
navegar	vmn0000	O
muy	rg	O
cerca	rg	O
de	sps00	O
los	da0mp0	B-NP
bañistas	nccp000	I-NP
.	fp	O
La	da0fs0	B-NP
mayoría	ncfs000	I-NP
de	sps00	I-NP
los	da0mp0	I-NP
incumplimientos	ncmp000	I-NP
han	vaip3p0	B-VP
sido	vsp00sm	I-VP
cometidos	vmp00pm	I-VP
por	sps00	O
extranjeros	ncmp000	B-NP
que	pr0cn000	O
desconocen	vmip3p0	B-VP
o	cc	O
no	rn	O
respetan	vmip3p0	B-VP
la	da0fs0	B-NP
normativa	ncfs000	I-NP
española	aq0fs0	I-NP
.	fp	O
Tras	sps00	O
las	da0fp0	B-NP
multas	ncfp000	I-NP
,	fc	O
los	da0mp0	B-NP
vehículos	ncmp000	I-NP
quedan	vmip3p0	B-VP
inmovilizados	aq0mpp	O
hasta	sps00	O
que	cs	O
se	p0000000	O
subsanan	vmip3p0	B-VP
las	da0fp0	B-NP
irregularidades	ncfp000	I-NP
.	fp	O
