Denuncia	ncfs000	B-NP
por	sps00	I-NP
la	da0fs0	I-NP
falta	ncfs000	I-NP
de	sps00	I-NP
plazas	ncfp000	I-NP
de	sps00	I-NP
FP	np00000	I-NP
en	sps00	I-NP
Tarragona	np00000	I-NP
.	fp	O
Cristóbal_Castro	np00000	B-NP
,	fc	I-NP
padre	ncms000	I-NP
de	sps00	I-NP
una	di0fs0	I-NP
alumna	ncfs000	I-NP
de	sps00	I-NP
Formación_Profesional	np00000	I-NP
(	fpa	I-NP
FP	np00000	I-NP
)	fpt	I-NP
de	sps00	I-NP
Tarragona	np00000	I-NP
,	fc	O
denunció	vmis3s0	B-VP
ayer	rg	O
la	da0fs0	B-NP
falta	ncfs000	I-NP
de	sps00	I-NP
previsión	ncfs000	I-NP
de	sps00	I-NP
Ensenyament	np00000	I-NP
por	sps00	O
excluir	vmn0000	O
por	sps00	O
falta	ncfs000	B-NP
de	sps00	I-NP
plazas	ncfp000	I-NP
a_la_mitad_de	sps00	O
los	da0mp0	B-NP
alumnos	ncmp000	I-NP
que	pr0cn000	O
solicitaron	vmis3p0	B-VP
un	di0ms0	B-NP
puesto	ncms000	I-NP
en	sps00	O
el	da0ms0	B-NP
nuevo	aq0ms0	I-NP
curso	ncms000	I-NP
puente	ncms000	I-NP
de	sps00	I-NP
grado	ncms000	I-NP
medio	aq0ms0	I-NP
a	sps00	I-NP
grado	ncms000	I-NP
superior	aq0cs0	I-NP
en	sps00	I-NP
el	da0ms0	I-NP
instituto	ncms000	I-NP
Vidal_i_Barraquer	np00000	I-NP
.	fp	O
En	sps00	O
una	di0fs0	B-NP
lista	ncfs000	I-NP
provisional	aq0cs0	I-NP
aparecida	aq0fsp	O
el	da0ms0	B-NP
día_2		I-NP
figuraban	vmii3p0	B-VP
los	da0mp0	B-NP
68		I-NP
alumnos	ncmp000	I-NP
peticionarios	aq0mp0	I-NP
,	fc	O
pero	cc	O
una	di0fs0	B-NP
semana	ncfs000	I-NP
después	rg	O
,	fc	O
en	sps00	O
la	da0fs0	B-NP
lista	ncfs000	I-NP
definitiva	aq0fs0	I-NP
,	fc	O
sólo	rg	O
estaban	vmii3p0	B-VP
35		B-NP
.	fp	O
Ensenyament	np00000	B-NP
admitió	vmis3s0	B-VP
que	cs	O
ha	vaip3s0	B-VP
habido	vap00sm	I-VP
deficiencias	ncfp000	B-NP
en	sps00	O
el	da0ms0	B-NP
procedimiento	ncms000	I-NP
,	fc	O
pero	cc	O
no	rn	O
aportó	vmis3s0	B-VP
ninguna	di0fs0	B-NP
solución	ncfs000	I-NP
.	fp	O
