EL	da0ms0	B-NP
ZARAGOZA	np00000	I-NP
ARREBATA	vmip3s0	B-VP
EL	da0ms0	B-NP
TERCER	ao0ms0	I-NP
PUESTO	ncms000	I-NP
AL	spcms	O
ALAVÉS	np00000	B-NP
El	da0ms0	B-NP
Zaragoza	np00000	I-NP
,	fc	O
gracias_a	sps00	O
dos	dn0cp0	B-NP
tantos	ncmp000	I-NP
del	spcms	I-NP
paraguayo	ncms000	I-NP
Roberto_Miguel_`Toro`_Acuña	np00000	I-NP
,	fc	O
se	p0300000	O
hizo	vmis3s0	B-VP
con	sps00	O
tres	dn0cp0	B-NP
puntos	ncmp000	I-NP
en	sps00	O
su	dp3cs0	B-NP
visita	ncfs000	I-NP
a	sps00	I-NP
Vitoria	np00000	I-NP
(	fpa	I-NP
0-2		I-NP
)	fpt	I-NP
y	cc	O
arrebató	vmis3s0	B-VP
el	da0ms0	B-NP
tercer	ao0ms0	I-NP
puesto	ncms000	I-NP
de	sps00	I-NP
la	da0fs0	I-NP
clasificación	ncfs000	I-NP
al	spcms	O
Alavés	np00000	B-NP
,	fc	O
que	pr0cn000	O
llevaba	vmii3s0	B-VP
siete	dn0cp0	B-NP
jornadas	ncfp000	I-NP
sin	sps00	O
perder	vmn0000	O
.	fp	O
Fue	vsis3s0	B-VP
el	da0ms0	B-NP
primer	ao0ms0	I-NP
triunfo	ncms000	I-NP
del	spcms	I-NP
conjunto	ncms000	I-NP
aragonés	aq0ms0	I-NP
en	sps00	O
el	da0ms0	B-NP
estadio	ncms000	I-NP
Mendizorroza	np00000	I-NP
.	fp	O
Hasta	sps00	O
ahora	rg	O
,	fc	O
había	vaii3s0	B-VP
visitado	vmp00sm	I-VP
en	sps00	O
cinco	dn0cp0	B-NP
ocasiones	ncfp000	I-NP
al	spcms	O
Alavés	np00000	B-NP
,	fc	O
una	pi0fs000	B-NP
en	sps00	I-NP
Primera	np00000	I-NP
,	fc	I-NP
tres	pn0cp000	I-NP
en	sps00	I-NP
Segunda	np00000	I-NP
y	cc	I-NP
una	pi0fs000	I-NP
en	sps00	I-NP
Tercera	np00000	I-NP
,	fc	O
con	sps00	O
un	di0ms0	B-NP
saldo	ncms000	I-NP
de	sps00	I-NP
tres	dn0cp0	I-NP
derrotas	ncfp000	I-NP
y	cc	I-NP
dos	dn0cp0	I-NP
empates	ncmp000	I-NP
.	fp	O
