EL	da0ms0	B-NP
ATHLETIC	np00000	I-NP
SIGUE	vmip3s0	B-VP
CUESTA_ABAJO	rg	O
El	da0ms0	B-NP
Athletic_de_Bilbao	np00000	I-NP
cedió	vmis3s0	B-VP
un	di0ms0	B-NP
empate	ncms000	I-NP
en	sps00	O
San_Mamés	np00000	B-NP
ante	sps00	O
el	da0ms0	B-NP
colista	aq0cs0	I-NP
Sevilla	np00000	I-NP
(	fpa	B-NP
1-1		I-NP
)	fpt	I-NP
y	cc	O
ya	rg	O
encadena	vmip3s0	B-VP
siete	dn0cp0	B-NP
jornadas	ncfp000	I-NP
sin	sps00	O
vencer	vmn0000	O
,	fc	O
en	sps00	O
las	da0fp0	B-NP
que	pr0cn000	I-NP
sólo	rg	O
ha	vaip3s0	B-VP
sumado	vmp00sm	I-VP
tres	dn0cp0	B-NP
puntos	ncmp000	I-NP
de	sps00	I-NP
21		I-NP
posibles	aq0cp0	I-NP
.	fp	O
Los	da0mp0	B-NP
hombres	ncmp000	I-NP
de	sps00	I-NP
Luis_Fernández	np00000	I-NP
,	fc	O
que	pr0cn000	O
al	spcms	O
concluir	vmn0000	O
la	da0fs0	B-NP
última	ao0fs0	I-NP
jornada	ncfs000	I-NP
de	sps00	I-NP
la	da0fs0	I-NP
primera	ao0fs0	I-NP
vuelta	ncfs000	I-NP
estaban	vmii3p0	B-VP
situados	aq0mpp	O
en	sps00	O
el	da0ms0	B-NP
cuarto	ao0ms0	I-NP
peldaño	ncms000	I-NP
de	sps00	I-NP
la	da0fs0	I-NP
clasificación	ncfs000	I-NP
,	fc	I-NP
en	sps00	I-NP
zona	ncfs000	I-NP
de	sps00	I-NP
Liga_de_Campeones	np00000	I-NP
,	fc	O
ocupan	vmip3p0	B-VP
ahora	rg	O
el	da0ms0	B-NP
decimotercer	ao0ms0	I-NP
puesto	ncms000	I-NP
,	fc	I-NP
a	sps00	I-NP
cinco	dn0cp0	I-NP
puntos	ncmp000	I-NP
del	spcms	I-NP
descenso	ncms000	I-NP
.	fp	O
