La	da0fs0	B-NP
productora	ncfs000	I-NP
audiovisual	aq0cs0	I-NP
Media_Park	np0000o	I-NP
entrará	vmif3s0	B-VP
en	sps00	O
el	da0ms0	B-NP
mercado	ncms000	I-NP
latinoamericano	aq0ms0	I-NP
de	sps00	I-NP
canales	ncmp000	I-NP
temáticos	aq0mp0	I-NP
en	sps00	O
el	da0ms0	B-NP
2001		I-NP
tras	sps00	O
la	da0fs0	B-NP
incorporación	ncfs000	I-NP
de	sps00	I-NP
Telefónica	np0000o	I-NP
a	sps00	I-NP
su	dp3cs0	I-NP
accionariado	ncms000	I-NP
,	fc	O
según	sps00	O
los	da0mp0	B-NP
planes	ncmp000	I-NP
de	sps00	I-NP
la	da0fs0	I-NP
sociedad	ncfs000	I-NP
detallados	aq0mpp	O
a	sps00	O
EFE	np0000o	B-NP
por	sps00	O
su	dp3cs0	B-NP
director	ncms000	I-NP
de	sps00	I-NP
expansión	ncfs000	I-NP
corporativa	aq0fs0	I-NP
,	fc	O
Francisco_Fernández_Ontiveros	np0000p	B-NP
.	fp	O
La	da0fs0	B-NP
entrada	ncfs000	I-NP
de	sps00	I-NP
Telefónica	np0000o	I-NP
en	sps00	I-NP
Media_Park	np0000o	I-NP
al	spcms	O
tomar	vmn0000	O
un	di0ms0	B-NP
25%	zp	I-NP
del	spcms	O
capital	ncms000	B-NP
permitirá	vmif3s0	B-VP
a	sps00	O
la	da0fs0	B-NP
productora	ncfs000	I-NP
no_sólo	rg	B-NP
una	di0fs0	I-NP
significativa	aq0fs0	I-NP
inyección	ncfs000	I-NP
de	sps00	I-NP
ingresos	ncmp000	I-NP
,	fc	O
que	pr0cn000	O
ha	vaip3s0	B-VP
situado	vmp00sm	I-VP
los	da0mp0	B-NP
fondos	ncmp000	I-NP
propios	aq0mp0	I-NP
de	sps00	I-NP
la	da0fs0	I-NP
sociedad	ncfs000	I-NP
en	sps00	O
unos	di0mp0	B-NP
16.000		I-NP
millones	ncmp000	I-NP
de	sps00	I-NP
pesetas	zm	I-NP
,	fc	O
sino_también	cc	B-NP
un	di0ms0	I-NP
socio	ncms000	I-NP
que	pr0cn000	O
le	pp3csd00	B-NP
abrirá	vmif3s0	B-VP
las	da0fp0	B-NP
puertas	ncfp000	I-NP
del	spcms	I-NP
amplio	aq0ms0	I-NP
mercado	ncms000	I-NP
latinoamericano	aq0ms0	I-NP
.	fp	O
En	sps00	O
este	dd0ms0	B-NP
sentido	ncms000	I-NP
,	fc	O
Fernández_Ontiveros	np0000p	B-NP
ha	vaip3s0	B-VP
explicado	vmp00sm	I-VP
que	cs	O
Media_Park	np0000o	B-NP
intentará	vmif3s0	B-VP
vender	vmn0000	O
canales	ncmp000	B-NP
temáticos	aq0mp0	I-NP
en	sps00	O
países	ncmp000	B-NP
como	cs	I-NP
Argentina	np0000l	I-NP
,	fc	I-NP
Perú	np0000l	I-NP
,	fc	I-NP
Chile	np0000l	I-NP
y	cc	I-NP
México	np0000l	I-NP
,	fc	O
y	cc	O
que	cs	O
no	rn	O
tendrán	vmif3p0	B-VP
un	di0ms0	B-NP
carácter	ncms000	I-NP
generalista	aq0cs0	I-NP
,	fc	O
ya_que	cs	O
ese	pd0ms000	B-NP
es	vsip3s0	B-VP
un	di0ms0	B-NP
terreno	ncms000	I-NP
dominado	aq0msp	O
en	sps00	O
la	da0fs0	B-NP
zona	ncfs000	I-NP
por	sps00	O
las	da0fp0	B-NP
productoras	ncfp000	I-NP
americanas	aq0fp0	I-NP
.	fp	O
Entre	sps00	O
los	da0mp0	B-NP
canales	ncmp000	I-NP
que	pr0cn000	O
podría	vmic3s0	B-VP
comercializar	vmn0000	I-VP
la	da0fs0	B-NP
productora	ncfs000	I-NP
catalana	aq0fs0	I-NP
en	sps00	O
estos	dd0mp0	B-NP
países	ncmp000	I-NP
podrían	vmic3p0	B-VP
figurar	vmn0000	I-VP
uno	pi0ms000	B-NP
dedicado	aq0msp	O
al	spcms	O
motor	ncms000	B-NP
,	fc	I-NP
deporte	ncms000	I-NP
de	sps00	I-NP
amplia	aq0fs0	I-NP
popularidad	ncfs000	I-NP
en	sps00	I-NP
el	da0ms0	I-NP
caso	ncms000	I-NP
de	sps00	I-NP
Argentina	np0000l	I-NP
,	fc	I-NP
y	cc	I-NP
otros	di0mp0	I-NP
orientados	aq0mpp	O
al	spcms	O
mundo	ncms000	B-NP
de	sps00	I-NP
la	da0fs0	I-NP
cultura	ncfs000	I-NP
