La	da0fs0	B-NP
comisión	ncfs000	I-NP
mixta	aq0fs0	I-NP
Congreso-Senado	np00000	I-NP
sobre	sps00	I-NP
drogas	ncfp000	I-NP
respaldó	vmis3s0	B-VP
ayer	rg	O
el	da0ms0	B-NP
experimento	ncms000	I-NP
piloto	nccs000	I-NP
sobre	sps00	I-NP
narcosalas	ncfp000	I-NP
que	pr0cn000	O
va	vmip3s0	B-VP
a	sps00	I-VP
llevar_a_cabo	vmn0000	I-VP
la	da0fs0	B-NP
comunidad	ncfs000	I-NP
de	sps00	I-NP
Madrid	np00000	I-NP
en_colaboración_con	sps00	O
el	da0ms0	B-NP
Plan_Nacional_sobre_Drogas	np00000	I-NP
.	fp	O
El	da0ms0	B-NP
proyecto	ncms000	I-NP
pretende	vmip3s0	B-VP
abrir	vmn0000	O
centros	ncmp000	B-NP
para	sps00	I-NP
heroinómanos	ncmp000	I-NP
en	sps00	O
los	da0mp0	B-NP
que	pr0cn000	I-NP
se	p0000000	O
faciliten	vmsp3p0	B-VP
jeringuillas	ncfp000	B-NP
,	fc	I-NP
asistencia	ncfs000	I-NP
médica	aq0fs0	I-NP
y	cc	I-NP
social	aq0cs0	I-NP
(	fpa	I-NP
alimentación	ncfs000	I-NP
,	fc	I-NP
vestido	ncms000	I-NP
e	cc	I-NP
higiene	ncfs000	I-NP
)	fpt	I-NP
.	fp	O
Se	p0000000	O
construirán	vmif3p0	B-VP
en	sps00	O
las	da0fp0	B-NP
zonas	ncfp000	I-NP
más	rg	O
afectadas	aq0fpp	O
por	sps00	O
el	da0ms0	B-NP
problema	ncms000	I-NP
y	cc	O
abrirán	vmif3p0	B-VP
desde	sps00	O
las	da0fp0	B-NP
diez	pn0cp000	I-NP
de	sps00	I-NP
la	da0fs0	I-NP
mañana	ncfs000	I-NP
a	sps00	I-NP
las	da0fp0	I-NP
diez	pn0cp000	I-NP
de	sps00	I-NP
la	da0fs0	I-NP
noche	ncfs000	I-NP
.	fp	O
El	da0ms0	B-NP
delegado	ncms000	I-NP
del	spcms	I-NP
plan	ncms000	I-NP
,	fc	O
Gonzalo_Robles	np00000	B-NP
,	fc	O
explicó	vmis3s0	B-VP
que	cs	O
se	p0000000	O
trata	vmip3s0	B-VP
de	sps00	O
un	di0ms0	B-NP
proyecto	ncms000	I-NP
de	sps00	I-NP
prevención	ncfs000	I-NP
del	spcms	I-NP
daño	ncms000	I-NP
y	cc	I-NP
atención	ncfs000	I-NP
sanitaria	aq0fs0	I-NP
,	fc	O
que	pr0cn000	O
además	rg	O
persigue	vmip3s0	B-VP
""""	fe	O
devolver	vmn0000	O
la	da0fs0	B-NP
dignidad	ncfs000	I-NP
""""	fe	O
a	sps00	O
personas	ncfp000	B-NP
que	pr0cn000	O
viven	vmip3p0	B-VP
en	sps00	O
condiciones	ncfp000	B-NP
""""	fe	I-NP
lamentables	aq0cp0	I-NP
""""	fe	I-NP
.	fp	O
CiU	np00000	B-NP
pidió	vmis3s0	B-VP
al	spcms	O
Gobierno	np00000	B-NP
que	cs	O
no	rn	O
ponga	vmsp3s0	B-VP
trabas	ncfp000	B-NP
para	sps00	O
extender	vmn0000	O
estos	dd0mp0	B-NP
centros	ncmp000	I-NP
donde	pr000000	O
sean	vssp3p0	B-VP
necesarios	aq0mp0	O
si	cs	O
la	da0fs0	B-NP
experiencia	ncfs000	I-NP
es	vsip3s0	B-VP
positiva	aq0fs0	O
.	fp	O
El	da0ms0	B-NP
PSOE	np00000	I-NP
criticó	vmis3s0	B-VP
que	cs	O
se	p0000000	O
haya	vasp3s0	B-VP
elegido	vmp00sm	I-VP
el	da0ms0	B-NP
poblado	ncms000	I-NP
de	sps00	I-NP
La_Barranquilla	np00000	I-NP
,	fc	I-NP
en	sps00	I-NP
Vallecas	np00000	I-NP
,	fc	O
para	sps00	O
implantar	vmn0000	O
el	da0ms0	B-NP
primer	ao0ms0	I-NP
centro	ncms000	I-NP
y	cc	O
afirmó	vmis3s0	B-VP
que	cs	O
debería	vmic3s0	B-VP
haberse	van0000	I-VP
hecho	vmp00sm	I-VP
un	di0ms0	B-NP
mapa	ncms000	I-NP
con	sps00	I-NP
los	da0mp0	I-NP
lugares	ncmp000	I-NP
más	rg	O
indicados	aq0mpp	O
.	fp	O
""""	fe	O
Vendrán	vmif3p0	B-VP
toxicómanos	ncmp000	B-NP
de	sps00	O
otras	di0fp0	B-NP
partes	ncfp000	I-NP
""""	fe	O
,	fc	O
avisó	vmis3s0	B-VP
la	da0fs0	B-NP
diputada	ncfs000	I-NP
Dolores_García	np00000	I-NP
.	fp	O
