Arde	vmip3s0	B-VP
un	di0ms0	B-NP
almacén	ncms000	I-NP
de	sps00	I-NP
plásticos	ncmp000	I-NP
en	sps00	O
Esplugues_de_Llobregat	np00000	B-NP
.	fp	O
Una	di0fs0	B-NP
nave	ncfs000	I-NP
industrial	aq0cs0	I-NP
que	pr0cn000	O
almacenaba	vmii3s0	B-VP
derivados	ncmp000	B-NP
de	sps00	I-NP
plástico	ncms000	I-NP
,	fc	O
en	sps00	O
el	da0ms0	B-NP
número	ncms000	I-NP
61		I-NP
de	sps00	I-NP
la	da0fs0	I-NP
calle	ncfs000	I-NP
de	sps00	I-NP
Gaspar_Fàbregas	np00000	I-NP
,	fc	O
ardió	vmis3s0	B-VP
ayer	rg	O
a_mediodía	rg	O
y	cc	O
precisó	vmis3s0	B-VP
de	sps00	O
la	da0fs0	B-NP
intervención	ncfs000	I-NP
de	sps00	I-NP
14		I-NP
dotaciones	ncfp000	I-NP
de	sps00	I-NP
los	da0mp0	I-NP
bomberos	ncmp000	I-NP
.	fp	O
Los	da0mp0	B-NP
10		I-NP
trabajadores	ncmp000	I-NP
pudieron	vmis3p0	B-VP
desalojarla	vmn0000	I-VP
sin	sps00	O
daños	ncmp000	B-NP
.	fp	O
