Detenidos	aq0mpp	O
dos	dn0cp0	B-NP
presuntos	aq0mp0	I-NP
criminales	nccp000	I-NP
de	sps00	I-NP
guerra	ncfs000	I-NP
serbios	aq0mp0	I-NP
en	sps00	O
Kosovo	np00000	B-NP
.	fp	O
Los	da0mp0	B-NP
arrestos	ncmp000	I-NP
fueron	vsis3p0	B-VP
llevados_a_cabo	vmp00pm	I-VP
el	da0ms0	B-NP
lunes		I-NP
en	sps00	O
la	da0fs0	B-NP
localidad	ncfs000	I-NP
de	sps00	I-NP
Velika_Hoca	np00000	I-NP
,	fc	I-NP
en	sps00	I-NP
el	da0ms0	I-NP
suroeste	ncms000	I-NP
de	sps00	I-NP
Kosovo	np00000	I-NP
,	fc	O
por	sps00	O
la	da0fs0	B-NP
policía	nccs000	I-NP
de	sps00	I-NP
Naciones_Unidas	np00000	I-NP
.	fp	O
Stojan_Jovanovic	np00000	B-NP
,	fc	I-NP
de	sps00	I-NP
41		I-NP
años	ncmp000	I-NP
,	fc	I-NP
y	cc	I-NP
Bogoljub_Misic	np00000	I-NP
,	fc	I-NP
de	sps00	I-NP
38		I-NP
,	fc	O
fueron	vsis3p0	B-VP
detenidos	vmp00pm	I-VP
cuando	cs	O
reservaban	vmii3p0	B-VP
asiento	ncms000	B-NP
en	sps00	O
un	di0ms0	B-NP
autobús	ncms000	I-NP
que	pr0cn000	O
cubre	vmip3s0	B-VP
el	da0ms0	B-NP
trayecto	ncms000	I-NP
entre	sps00	I-NP
Orahovac	np00000	I-NP
y	cc	I-NP
Kosovska_Mitrovica	np00000	I-NP
.	fp	O
La	da0fs0	B-NP
región	ncfs000	I-NP
de	sps00	I-NP
Orahovac	np00000	I-NP
fue	vsis3s0	B-VP
escenario	ncms000	B-NP
el	da0ms0	B-NP
año		I-NP
pasado	aq0msp	O
de	sps00	O
violentos	aq0mp0	B-NP
combates	ncmp000	I-NP
entre	sps00	I-NP
las	da0fp0	I-NP
fuerzas	ncfp000	I-NP
serbias	aq0fp0	I-NP
y	cc	I-NP
la	da0fs0	I-NP
guerrilla	ncfs000	I-NP
albanokosovar	aq0cs0	I-NP
.	fp	O
Varias	di0fp0	B-NP
fosas	ncfp000	I-NP
comunes	aq0cp0	I-NP
han	vaip3p0	B-VP
sido	vsp00sm	I-VP
descubiertas	vmp00pf	I-VP
en	sps00	O
la	da0fs0	B-NP
región	ncfs000	I-NP
.	fp	O
Desde	sps00	O
su	dp3cs0	B-NP
entrada	ncfs000	I-NP
en	sps00	I-NP
Kosovo	np00000	I-NP
,	fc	I-NP
en	sps00	I-NP
Junio		I-NP
del	spcms	I-NP
año	ncms000	I-NP
pasado	aq0msp	O
,	fc	O
la	da0fs0	B-NP
fuerza	ncfs000	I-NP
de	sps00	I-NP
paz	ncfs000	I-NP
de	sps00	I-NP
la	da0fs0	I-NP
OTAN	np00000	I-NP
ha	vaip3s0	B-VP
arrestado	vmp00sm	I-VP
a	sps00	O
cinco	dn0cp0	B-NP
serbios	ncmp000	I-NP
,	fc	I-NP
sospechosos	aq0mp0	I-NP
de	sps00	I-NP
crímenes	ncmp000	I-NP
de	sps00	I-NP
guerra	ncfs000	I-NP
.	fp	O
